ts_utc;action;propiedad_id
2025-09-11T13:43:55.772134Z;insert;2
2025-09-11T13:43:55.772134Z;insert;41
2025-09-11T13:43:55.772134Z;insert;168
2025-09-11T13:43:55.772134Z;insert;192
2025-09-11T13:43:55.772134Z;insert;268
2025-09-11T13:43:55.772134Z;insert;317
2025-09-11T13:43:55.772134Z;insert;382
2025-09-11T13:43:55.772134Z;insert;387
2025-09-11T13:43:55.772134Z;insert;508
2025-09-11T13:43:55.772134Z;insert;555
2025-09-11T13:43:55.772134Z;insert;556
2025-09-11T13:43:55.772134Z;insert;559
2025-09-11T13:43:55.772134Z;insert;598
2025-09-11T13:43:55.772134Z;insert;599
2025-09-11T13:43:55.772134Z;insert;601
2025-09-11T13:43:55.772134Z;insert;607
2025-09-11T13:43:55.772134Z;insert;880
2025-09-11T13:43:55.772134Z;insert;896
2025-09-11T13:43:55.772134Z;insert;1028
2025-09-11T13:43:55.772134Z;insert;1058
2025-09-11T13:43:55.772134Z;insert;1371
2025-09-11T13:43:55.772134Z;insert;10761
2025-09-11T13:43:55.772134Z;insert;10762
2025-09-11T13:43:55.772134Z;insert;10812
2025-09-11T18:51:03.693507Z;insert;1
2025-09-11T18:51:03.693507Z;insert;3
2025-09-11T18:51:03.693507Z;insert;4
2025-09-11T18:51:03.693507Z;insert;5
2025-09-11T18:51:03.693507Z;insert;6
2025-09-11T18:51:03.693507Z;insert;8
2025-09-11T18:51:03.693507Z;insert;10
2025-09-11T18:51:03.693507Z;insert;11
2025-09-11T18:51:03.693507Z;insert;12
2025-09-11T18:51:03.693507Z;insert;13
2025-09-11T18:51:03.693507Z;insert;14
2025-09-11T18:51:03.693507Z;insert;15
2025-09-11T18:51:03.693507Z;insert;17
2025-09-11T18:51:03.693507Z;insert;18
2025-09-11T18:51:03.693507Z;insert;19
2025-09-11T18:51:03.693507Z;insert;20
2025-09-11T18:51:03.693507Z;insert;21
2025-09-11T18:51:03.693507Z;insert;22
2025-09-11T18:51:03.693507Z;insert;23
2025-09-11T18:51:03.693507Z;insert;24
2025-09-11T18:51:03.693507Z;insert;25
2025-09-11T18:51:03.693507Z;insert;26
2025-09-11T18:51:03.693507Z;insert;28
2025-09-11T18:51:03.693507Z;insert;29
2025-09-11T18:51:03.693507Z;insert;30
2025-09-11T18:51:03.693507Z;insert;31
2025-09-11T18:51:03.693507Z;insert;32
2025-09-11T18:51:03.693507Z;insert;33
2025-09-11T18:51:03.693507Z;insert;35
2025-09-11T18:51:03.693507Z;insert;36
2025-09-11T18:51:03.693507Z;insert;37
2025-09-11T18:51:03.693507Z;insert;38
2025-09-11T18:51:03.693507Z;insert;40
2025-09-11T18:51:03.693507Z;insert;43
2025-09-11T18:51:03.693507Z;insert;44
2025-09-11T18:51:03.693507Z;insert;45
2025-09-11T18:51:03.693507Z;insert;48
2025-09-11T18:51:03.693507Z;insert;49
2025-09-11T18:51:03.693507Z;insert;51
2025-09-11T18:51:03.693507Z;insert;53
2025-09-11T18:51:03.693507Z;insert;54
2025-09-11T18:51:03.693507Z;insert;55
2025-09-11T18:51:03.693507Z;insert;56
2025-09-11T18:51:03.693507Z;insert;57
2025-09-11T18:51:03.693507Z;insert;58
2025-09-11T18:51:03.693507Z;insert;59
2025-09-11T18:51:03.693507Z;insert;60
2025-09-11T18:51:03.693507Z;insert;61
2025-09-11T18:51:03.693507Z;insert;62
2025-09-11T18:51:03.693507Z;insert;63
2025-09-11T18:51:03.693507Z;insert;70
2025-09-11T18:51:03.693507Z;insert;72
2025-09-11T18:51:03.693507Z;insert;74
2025-09-11T18:51:03.693507Z;insert;76
2025-09-11T18:51:03.693507Z;insert;78
2025-09-11T18:51:03.693507Z;insert;79
2025-09-11T18:51:03.693507Z;insert;83
2025-09-11T18:51:03.693507Z;insert;84
2025-09-11T18:51:03.693507Z;insert;85
2025-09-11T18:51:03.693507Z;insert;87
2025-09-11T18:51:03.693507Z;insert;91
2025-09-11T18:51:03.693507Z;insert;97
2025-09-11T18:51:03.693507Z;insert;101
2025-09-11T18:51:03.693507Z;insert;102
2025-09-11T18:51:03.693507Z;insert;105
2025-09-11T18:51:03.693507Z;insert;106
2025-09-11T18:51:03.693507Z;insert;109
2025-09-11T18:51:03.693507Z;insert;110
2025-09-11T18:51:03.693507Z;insert;112
2025-09-11T18:51:03.693507Z;insert;114
2025-09-11T18:51:03.693507Z;insert;116
2025-09-11T18:51:03.693507Z;insert;121
2025-09-11T18:51:03.693507Z;insert;125
2025-09-11T18:51:03.693507Z;insert;126
2025-09-11T18:51:03.693507Z;insert;129
2025-09-11T18:51:03.693507Z;insert;130
2025-09-11T18:51:03.693507Z;insert;134
2025-09-11T18:51:03.693507Z;insert;135
2025-09-11T18:51:03.693507Z;insert;137
2025-09-11T18:51:03.693507Z;insert;139
2025-09-11T18:51:03.693507Z;insert;140
2025-09-11T18:51:03.693507Z;insert;141
2025-09-11T18:51:03.693507Z;insert;143
2025-09-11T18:51:03.693507Z;insert;144
2025-09-11T18:51:03.693507Z;insert;149
2025-09-11T18:51:03.693507Z;insert;150
2025-09-11T18:51:03.693507Z;insert;155
2025-09-11T18:51:03.693507Z;insert;157
2025-09-11T18:51:03.693507Z;insert;158
2025-09-11T18:51:03.693507Z;insert;160
2025-09-11T18:51:03.693507Z;insert;161
2025-09-11T18:51:03.693507Z;insert;162
2025-09-11T18:51:03.693507Z;insert;163
2025-09-11T18:51:03.693507Z;insert;164
2025-09-11T18:51:03.693507Z;insert;165
2025-09-11T18:51:03.693507Z;insert;166
2025-09-11T18:51:03.693507Z;insert;167
2025-09-11T18:51:03.693507Z;insert;169
2025-09-11T18:51:03.693507Z;insert;170
2025-09-11T18:51:03.693507Z;insert;171
2025-09-11T18:51:03.693507Z;insert;175
2025-09-11T18:51:03.693507Z;insert;177
2025-09-11T18:51:03.693507Z;insert;182
2025-09-11T18:51:03.693507Z;insert;184
2025-09-11T18:51:03.693507Z;insert;185
2025-09-11T18:51:03.693507Z;insert;187
2025-09-11T18:51:03.693507Z;insert;188
2025-09-11T18:51:03.693507Z;insert;194
2025-09-11T18:51:03.693507Z;insert;196
2025-09-11T18:51:03.693507Z;insert;202
2025-09-11T18:51:03.693507Z;insert;204
2025-09-11T18:51:03.693507Z;insert;209
2025-09-11T18:51:03.693507Z;insert;210
2025-09-11T18:51:03.693507Z;insert;211
2025-09-11T18:51:03.693507Z;insert;216
2025-09-11T18:51:03.693507Z;insert;218
2025-09-11T18:51:03.693507Z;insert;219
2025-09-11T18:51:03.693507Z;insert;220
2025-09-11T18:51:03.693507Z;insert;222
2025-09-11T18:51:03.693507Z;insert;236
2025-09-11T18:51:03.693507Z;insert;240
2025-09-11T18:51:03.693507Z;insert;242
2025-09-11T18:51:03.693507Z;insert;243
2025-09-11T18:51:03.693507Z;insert;248
2025-09-11T18:51:03.693507Z;insert;249
2025-09-11T18:51:03.693507Z;insert;269
2025-09-11T18:51:03.693507Z;insert;271
2025-09-11T18:51:03.693507Z;insert;277
2025-09-11T18:51:03.693507Z;insert;279
2025-09-11T18:51:03.693507Z;insert;283
2025-09-11T18:51:03.693507Z;insert;290
2025-09-11T18:51:03.693507Z;insert;296
2025-09-11T18:51:03.693507Z;insert;298
2025-09-11T18:51:03.693507Z;insert;305
2025-09-11T18:51:03.693507Z;insert;312
2025-09-11T18:51:03.693507Z;insert;315
2025-09-11T18:51:03.693507Z;insert;316
2025-09-11T18:51:03.693507Z;insert;318
2025-09-11T18:51:03.693507Z;insert;319
2025-09-11T18:51:03.693507Z;insert;322
2025-09-11T18:51:03.693507Z;insert;328
2025-09-11T18:51:03.693507Z;insert;329
2025-09-11T18:51:03.693507Z;insert;331
2025-09-11T18:51:03.693507Z;insert;333
2025-09-11T18:51:03.693507Z;insert;334
2025-09-11T18:51:03.693507Z;insert;336
2025-09-11T18:51:03.693507Z;insert;353
2025-09-11T18:51:03.693507Z;insert;356
2025-09-11T18:51:03.693507Z;insert;358
2025-09-11T18:51:03.693507Z;insert;359
2025-09-11T18:51:03.693507Z;insert;363
2025-09-11T18:51:03.693507Z;insert;367
2025-09-11T18:51:03.693507Z;insert;368
2025-09-11T18:51:03.693507Z;insert;371
2025-09-11T18:51:03.693507Z;insert;375
2025-09-11T18:51:03.693507Z;insert;376
2025-09-11T18:51:03.693507Z;insert;379
2025-09-11T18:51:03.693507Z;insert;389
2025-09-11T18:51:03.693507Z;insert;395
2025-09-11T18:51:03.693507Z;insert;399
2025-09-11T18:51:03.693507Z;insert;404
2025-09-11T18:51:03.693507Z;insert;405
2025-09-11T18:51:03.693507Z;insert;407
2025-09-11T18:51:03.693507Z;insert;408
2025-09-11T18:51:03.693507Z;insert;413
2025-09-11T18:51:03.693507Z;insert;417
2025-09-11T18:51:03.693507Z;insert;421
2025-09-11T18:51:03.693507Z;insert;423
2025-09-11T18:51:03.693507Z;insert;426
2025-09-11T18:51:03.693507Z;insert;431
2025-09-11T18:51:03.693507Z;insert;433
2025-09-11T18:51:03.693507Z;insert;449
2025-09-11T18:51:03.693507Z;insert;457
2025-09-11T18:51:03.693507Z;insert;463
2025-09-11T18:51:03.693507Z;insert;464
2025-09-11T18:51:03.693507Z;insert;465
2025-09-11T18:51:03.693507Z;insert;470
2025-09-11T18:51:03.693507Z;insert;471
2025-09-11T18:51:03.693507Z;insert;498
2025-09-11T18:51:03.693507Z;insert;509
2025-09-11T18:51:03.693507Z;insert;511
2025-09-11T18:51:03.693507Z;insert;512
2025-09-11T18:51:03.693507Z;insert;516
2025-09-11T18:51:03.693507Z;insert;521
2025-09-11T18:51:03.693507Z;insert;522
2025-09-11T18:51:03.693507Z;insert;523
2025-09-11T18:51:03.693507Z;insert;528
2025-09-11T18:51:03.693507Z;insert;529
2025-09-11T18:51:03.693507Z;insert;533
2025-09-11T18:51:03.693507Z;insert;534
2025-09-11T18:51:03.693507Z;insert;535
2025-09-11T18:51:03.693507Z;insert;537
2025-09-11T18:51:03.693507Z;insert;541
2025-09-11T18:51:03.693507Z;insert;545
2025-09-11T18:51:03.693507Z;insert;546
2025-09-11T18:51:03.693507Z;insert;547
2025-09-11T18:51:03.693507Z;insert;548
2025-09-11T18:51:03.693507Z;insert;551
2025-09-11T18:51:03.693507Z;insert;552
2025-09-11T18:51:03.693507Z;insert;557
2025-09-11T18:51:03.693507Z;insert;561
2025-09-11T18:51:03.693507Z;insert;578
2025-09-11T18:51:03.693507Z;insert;580
2025-09-11T18:51:03.693507Z;insert;585
2025-09-11T18:51:03.693507Z;insert;631
2025-09-11T18:51:03.693507Z;insert;637
2025-09-11T18:51:03.693507Z;insert;638
2025-09-11T18:51:03.693507Z;insert;649
2025-09-11T18:51:03.693507Z;insert;652
2025-09-11T18:51:03.693507Z;insert;654
2025-09-11T18:51:03.693507Z;insert;659
2025-09-11T18:51:03.693507Z;insert;660
2025-09-11T18:51:03.693507Z;insert;661
2025-09-11T18:51:03.693507Z;insert;673
2025-09-11T18:51:03.693507Z;insert;676
2025-09-11T18:51:03.693507Z;insert;695
2025-09-11T18:51:03.693507Z;insert;697
2025-09-11T18:51:03.693507Z;insert;700
